tconst	averageRating	numVotes
tt0000341	4.9	357
tt0000346	4.8	218
tt0000347	4.5	113
tt0000349	5.5	127
tt0000350	5.8	715
tt0000352	5.6	52
tt0000353	5.2	350
tt0000355	6.2	692
tt0000357	5.9	438
tt0000358	6.2	695
tt0000359	7.1	2874
tt0000361	7.8	26
tt0000363	6.3	150
tt0000364	5.6	163
tt0000368	6.2	22
tt0000370	5.6	476
tt0000373	6.5	83
tt0000376	6.5	19
tt0000377	6.2	119
tt0000379	5.2	10
tt0000380	7.2	27
tt0000381	4.1	25
tt0000384	5.8	268
tt0000387	5.1	359
tt0000388	5.2	128
tt0000399	6.1	741
tt0000400	6.3	17
tt0000402	6.7	10
tt0000406	5.4	44
tt0000407	3.8	38
tt0000409	5.2	228
tt0000410	6.7	995
tt0000412	4.1	25
tt0000413	5.5	440
tt0000414	5.4	744
tt0000417	8.2	49250
tt0000420	6.2	2617
tt0000422	6.0	9
tt0000423	5.5	229
tt0000425	5.4	25
tt0000426	4.8	21
tt0000430	5.9	677
tt0000432	5.7	217
tt0000436	6.2	502
tt0000437	5.2	255
tt0000439	7.3	19178
tt0000440	5.5	219
tt0000441	8.2	11
tt0000442	4.7	80
tt0000443	6.2	11
tt0000446	6.3	25
tt0000447	6.4	2411
tt0000451	6.6	885
tt0000452	4.7	110
tt0000455	6.8	1813
tt0000456	4.2	63
tt0000459	4.6	77
tt0000460	6.6	17
tt0000464	4.7	436
tt0000465	7.3	1553
tt0000469	5.8	1040
tt0000472	6.6	23
tt0000479	5.3	380
tt0000480	5.1	196
tt0000487	6.9	514
tt0000488	6.9	798
tt0000491	3.9	67
tt0000492	4.8	120
tt0000495	6.0	112
tt0000496	6.0	64
tt0000497	5.2	79
tt0000498	6.7	1174
tt0000499	7.5	3564
tt0000501	4.8	51
tt0000502	4.5	14
tt0000505	6.7	26
tt0000506	5.8	9
tt0000507	3.8	59
tt0000509	6.0	44
tt0000511	6.5	44
tt0000512	4.6	70
tt0000515	4.9	93
tt0000516	6.6	1007
tt0000519	5.7	365
tt0000520	6.3	55
tt0000521	5.5	302
tt0000524	5.8	742
tt0000525	5.5	50
tt0000526	4.4	67
tt0000528	6.5	17
tt0000533	6.8	40
tt0000534	6.6	1144
tt0000535	5.0	59
tt0000537	4.5	92
tt0000543	5.2	17
tt0000546	6.7	1857
tt0000548	6.2	8
tt0000550	4.4	13
tt0000552	5.9	60
tt0000553	6.5	412
tt0000554	6.3	1285
tt0000555	5.2	17
tt0000557	4.6	136
tt0000561	5.2	53
tt0000565	6.3	585
tt0000567	6.8	1180
tt0000570	4.1	53
tt0000571	6.9	68
tt0000574	6.0	778
tt0000575	5.7	497
tt0000576	6.1	229
tt0000578	7.1	28
tt0000581	6.0	12
tt0000582	4.7	701
tt0000583	5.2	48
tt0000584	5.1	79
tt0000586	6.0	23
tt0000591	4.7	19
tt0000594	5.5	14
tt0000595	5.7	12
tt0000596	5.2	19
tt0000597	5.0	68
tt0000598	5.2	36
tt0000599	4.7	14
tt0000601	5.8	12
tt0000602	4.6	220
tt0000606	7.6	15
tt0000608	6.4	15
tt0000609	4.4	19
tt0000610	5.4	21
tt0000613	4.3	13
tt0000614	6.6	1049
tt0000615	4.5	23
tt0000617	4.9	35
tt0000618	8.7	14
tt0000621	6.5	584
tt0000624	8.2	15
tt0000627	6.1	62
tt0000628	5.7	827
tt0000629	5.7	86
tt0000630	3.9	25
tt0000632	5.1	51
tt0000634	4.7	26
tt0000637	5.5	692
tt0000638	5.3	84
tt0000639	5.2	94
tt0000640	4.5	138
tt0000641	4.7	165
tt0000642	5.5	67
tt0000644	5.5	63
tt0000645	5.1	169
tt0000648	4.6	157
tt0000650	8.0	21
tt0000651	5.1	62
tt0000653	4.5	207
tt0000654	5.2	106
tt0000658	6.5	234
tt0000659	5.1	80
tt0000660	5.8	63
tt0000661	6.7	19
tt0000662	4.7	64
tt0000663	5.6	62
tt0000665	5.8	64
tt0000666	5.8	32
tt0000668	7.1	50
tt0000669	4.8	156
tt0000671	6.7	16
tt0000672	6.2	45
tt0000673	5.9	11
tt0000674	4.8	46
tt0000675	4.9	19
tt0000676	4.4	17
tt0000677	7.6	21
tt0000679	5.3	66
tt0000680	5.5	48
tt0000681	5.9	41
tt0000682	6.9	2510
tt0000683	5.5	82
tt0000684	5.2	120
tt0000685	5.9	48
tt0000689	6.5	57
tt0000690	6.4	43
tt0000694	5.1	51
tt0000695	5.8	53
tt0000697	4.6	30
tt0000698	5.4	26
tt0000699	6.0	27
tt0000700	5.2	70
tt0000704	5.4	53
tt0000706	5.1	31
tt0000707	5.4	27
tt0000708	4.4	36
tt0000709	5.5	56
tt0000711	4.4	23
tt0000713	6.0	22
tt0000717	5.9	19
tt0000720	6.5	18
tt0000722	5.4	12
tt0000724	5.2	41
tt0000727	6.0	20
tt0000728	5.9	121
tt0000730	5.8	61
tt0000731	4.9	24
tt0000733	6.2	31
tt0000734	4.2	14
tt0000736	5.4	16
tt0000737	5.2	32
tt0000738	8.0	20
tt0000739	6.2	16
tt0000740	5.6	19
tt0000741	5.4	20
tt0000743	6.8	15
tt0000746	7.4	20
tt0000747	5.2	21
tt0000748	5.7	27
tt0000749	5.7	784
tt0000750	7.5	15
tt0000752	5.1	124
tt0000754	7.3	59
tt0000755	5.7	196
tt0000756	5.4	119
tt0000758	6.2	30
tt0000759	7.9	12
tt0000760	6.6	9
tt0000762	5.9	21
tt0000764	5.7	132
tt0000765	5.8	16
tt0000767	6.8	19
tt0000769	5.3	154
tt0000770	5.5	145
tt0000771	6.0	23
tt0000772	6.2	20
tt0000775	7.9	11
tt0000776	5.9	93
tt0000778	6.6	16
tt0000779	5.7	18
tt0000781	6.6	19
tt0000782	7.7	19
tt0000784	5.2	23
tt0000785	5.4	61
tt0000787	5.8	21
tt0000789	5.0	57
tt0000790	6.2	340
tt0000792	5.0	70
tt0000793	5.0	20
tt0000797	5.4	166
tt0000798	4.6	14
tt0000800	5.4	110
tt0000801	5.4	74
tt0000803	6.7	8
tt0000807	5.0	62
tt0000809	6.2	62
tt0000815	5.0	66
tt0000816	4.8	123
tt0000817	4.5	18
tt0000819	5.5	67
tt0000821	4.9	117
tt0000823	4.8	54
tt0000825	4.8	56
tt0000826	4.8	55
tt0000827	5.3	91
tt0000828	5.3	109
tt0000829	4.7	59
tt0000831	5.3	133
tt0000832	6.6	2443
tt0000833	6.4	675
tt0000835	4.9	149
tt0000836	4.8	49
tt0000837	5.5	43
tt0000840	5.6	329
tt0000841	5.2	72
tt0000843	5.7	41
tt0000844	5.8	18
tt0000845	5.0	43
tt0000847	6.3	17
tt0000848	5.5	24
tt0000851	5.3	46
tt0000852	5.7	232
tt0000853	5.7	41
tt0000854	5.9	501
tt0000855	5.7	51
tt0000857	5.2	38
tt0000858	5.2	38
tt0000860	4.7	74
tt0000861	5.3	60
tt0000862	5.1	16
tt0000864	5.9	60
tt0000866	6.3	9
tt0000870	5.5	59
tt0000871	5.8	114
tt0000873	6.4	11
tt0000874	5.2	52
tt0000875	4.9	38
tt0000877	4.9	102
tt0000878	5.0	171
tt0000880	5.9	81
tt0000882	5.8	205
tt0000883	7.0	8
tt0000884	4.4	12
tt0000886	4.8	38
tt0000887	5.0	48
tt0000890	7.1	32
tt0000891	5.6	52
tt0000892	5.7	71
tt0000893	6.3	39
tt0000895	5.6	201
tt0000896	4.3	24
tt0000897	5.6	61
tt0000898	5.7	26
tt0000900	4.7	24
tt0000901	5.3	25
tt0000902	5.3	16
tt0000903	6.2	22
tt0000904	5.4	112
tt0000905	5.6	24
tt0000907	6.2	23
tt0000908	6.3	31
tt0000910	5.3	26
tt0000911	3.4	26
tt0000912	4.4	64
tt0000916	6.0	58
tt0000917	5.4	21
tt0000919	4.3	24
tt0000920	5.2	24
tt0000921	5.6	26
tt0000922	5.6	106
tt0000924	6.1	171
tt0000928	5.4	92
tt0000929	5.5	46
tt0000930	4.6	12
tt0000932	4.3	10
tt0000933	5.1	48
tt0000934	4.8	19
tt0000935	6.3	95
tt0000936	6.8	89
tt0000938	4.6	181
tt0000939	5.4	20
tt0000941	4.8	23
tt0000942	6.1	978
tt0000943	5.6	12
tt0000944	4.8	11
tt0000945	4.8	71
tt0000946	4.6	77
tt0000950	4.8	16
tt0000954	5.0	16
tt0000956	6.9	16
tt0000957	6.3	46
tt0000958	5.7	15
tt0000960	4.7	277
tt0000961	8.2	22
tt0000962	5.3	15
tt0000964	5.3	17
tt0000966	5.7	341
tt0000967	5.3	18
tt0000969	6.7	25
tt0000970	5.9	76
tt0000971	6.4	149
tt0000972	5.9	87
tt0000974	5.2	54
tt0000975	5.7	20
tt0000976	4.7	20
tt0000978	6.8	8
tt0000979	5.2	29
tt0000981	5.6	52
tt0000983	5.4	14
tt0000985	4.4	15
tt0000986	5.1	110
tt0000987	7.8	9
tt0000988	5.1	21
tt0000989	4.9	43
tt0000990	6.2	76
tt0000992	4.6	15
tt0000993	5.0	14
tt0000995	7.3	18
tt0000996	4.8	10
tt0000997	6.7	16
tt0000998	5.6	18
tt0000999	5.4	9
tt0001000	5.5	49
tt0001001	5.2	129
tt0001002	5.0	94
tt0001005	4.7	16
tt0001008	5.6	29
tt0001009	6.5	940
tt0001010	4.6	14
tt0001011	5.3	17
tt0001013	5.9	376
tt0001014	5.1	111
tt0001015	4.7	23
tt0001016	5.2	139
tt0001020	5.2	14
tt0001023	6.0	14
tt0001024	5.0	12
tt0001025	7.7	17
tt0001027	6.0	17
tt0001028	4.4	17
tt0001029	5.3	49
tt0001031	4.4	14
tt0001032	6.0	859
tt0001033	5.1	19
tt0001035	5.0	34
tt0001036	3.5	12
tt0001037	3.9	18
tt0001038	3.8	21
tt0001041	5.4	37
tt0001044	5.7	109
tt0001045	5.6	14
tt0001046	5.6	15
tt0001049	4.0	16
tt0001050	5.1	82
tt0001052	5.7	17
tt0001053	6.2	16
tt0001054	5.9	32
tt0001058	5.4	24
tt0001060	5.6	15
tt0001061	6.4	46
tt0001062	6.2	1204
tt0001063	5.9	17
tt0001064	5.0	39
tt0001065	5.2	17
tt0001066	5.2	19
tt0001067	6.1	39
tt0001071	6.6	15
tt0001072	5.7	341
tt0001074	6.0	21
tt0001075	5.3	17
tt0001076	5.6	25
tt0001077	5.8	15
tt0001078	5.6	48
tt0001079	4.8	17
tt0001083	5.1	141
tt0001084	5.2	170
tt0001085	5.6	17
tt0001086	6.3	17
tt0001088	5.2	73
tt0001089	8.3	38
tt0001090	7.0	16
tt0001091	5.3	196
tt0001092	5.9	43
tt0001094	4.8	17
tt0001095	3.7	17
tt0001098	6.3	20
tt0001099	5.8	17
tt0001101	5.2	37
tt0001103	5.5	66
tt0001104	5.0	58
tt0001105	6.5	916
tt0001106	5.9	133
tt0001107	6.1	95
tt0001111	4.5	16
tt0001112	3.8	41
tt0001113	5.1	16
tt0001115	4.6	19
tt0001116	4.7	18
tt0001117	5.4	14
tt0001118	5.5	195
tt0001120	5.6	233
tt0001121	4.6	57
tt0001122	5.5	19
tt0001129	5.0	66
tt0001135	4.8	59
tt0001139	5.5	35
tt0001143	4.7	51
tt0001144	4.8	52
tt0001145	5.8	10
tt0001150	5.3	119
tt0001151	4.3	60
tt0001152	5.4	75
tt0001153	4.5	56
tt0001156	4.3	55
tt0001159	5.6	28
tt0001161	4.5	57
tt0001165	4.4	40
tt0001175	5.7	36
tt0001176	4.2	39
tt0001184	3.9	20
tt0001185	7.0	19
tt0001186	5.4	70
tt0001187	4.4	40
tt0001190	6.6	13
tt0001195	4.4	14
tt0001196	4.2	7
tt0001200	4.5	45
tt0001202	4.6	39
tt0001206	6.0	43
tt0001207	5.7	137
tt0001211	5.5	38
tt0001214	6.6	8
tt0001216	4.6	39
tt0001217	5.7	104
tt0001218	5.3	111
tt0001223	6.4	4200
tt0001227	5.8	257
tt0001230	5.0	29
tt0001234	5.4	43
tt0001235	5.3	52
tt0001236	5.0	42
tt0001237	4.6	70
tt0001240	3.9	21
tt0001241	5.1	16
tt0001242	6.0	18
tt0001245	5.6	72
tt0001253	5.6	23
tt0001254	4.4	23
tt0001256	5.8	545
tt0001258	5.8	146
tt0001262	5.2	29
tt0001264	7.1	73
tt0001265	6.4	525
tt0001277	4.4	23
tt0001280	4.8	32
tt0001282	6.8	34
tt0001283	5.8	22
tt0001284	4.8	44
tt0001285	5.6	58
tt0001292	5.0	59
tt0001294	7.2	16
tt0001299	3.9	16
